City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Coquimbo,CL,2023-01-25 00:48:31,-29.9533,-71.3436,64.13,88,0,13.8
59,Narsaq,GL,2023-01-25 00:48:31,60.9167,-46.05,28.62,81,100,15.55
60,San Patricio,US,2023-01-25 00:48:32,28.017,-97.5169,63.54,34,0,16.44
61,Tazovskiy,RU,2023-01-25 00:48:32,67.4667,78.7,-2.54,95,100,15.73
62,Freetown,SL,2023-01-25 00:48:32,8.484,-13.2299,75.96,86,100,4.36
63,Chokurdakh,RU,2023-01-25 00:48:33,70.6333,147.9167,-25.31,96,100,2.37
64,Busselton,AU,2023-01-25 00:46:46,-33.65,115.3333,68.77,49,3,12.5
65,Payo,ID,2023-01-25 00:48:33,-3.7508,103.6372,74.26,95,100,3.09
66,Remedios,CU,2023-01-25 00:48:34,22.4947,-79.5458,74.32,81,2,14.36
67,Carnarvon,AU,2023-01-25 00:48:34,-24.8667,113.6333,83.39,56,1,14.34
68,Codrington,AU,2023-01-25 00:48:34,-38.2667,141.9667,74.73,45,21,9.37
69,Waddan,LY,2023-01-25 00:48:35,29.1614,16.139,52.97,31,0,7.2
70,Ha Giang,VN,2023-01-25 00:48:35,22.8333,104.9833,50.31,74,57,0.27
71,Aasiaat,GL,2023-01-25 00:48:35,68.7098,-52.8699,6.37,94,100,7.34
72,Tambura,SS,2023-01-25 00:48:35,5.6,27.4667,71.6,26,35,4.32
73,Lazaro Cardenas,MX,2023-01-25 00:46:19,17.9583,-102.2,76.33,63,0,7.74
74,Lebu,CL,2023-01-25 00:48:05,-37.6167,-73.65,57.69,73,0,16.08
75,Mar Del Plata,AR,2023-01-25 00:47:17,-38.0023,-57.5575,71.62,81,75,19.57
76,Kutum,SD,2023-01-25 00:48:36,14.2,24.6667,58.33,19,81,6.49
77,Chuy,UY,2023-01-25 00:47:54,-33.6971,-53.4616,67.19,66,39,6.89
78,Port Alfred,ZA,2023-01-25 00:48:36,-33.5906,26.891,65.17,79,100,4.0
79,Kaitangata,NZ,2023-01-25 00:48:37,-46.2817,169.8464,64.8,64,70,7.0
80,Saint-Louis,SN,2023-01-25 00:48:38,16.3333,-15.0,75.18,23,63,9.01
81,Kodiak,US,2023-01-25 00:48:38,57.79,-152.4072,38.71,100,100,0.0
82,Rikitea,PF,2023-01-25 00:46:34,-23.1203,-134.9692,79.57,72,7,17.07
83,Henties Bay,NA,2023-01-25 00:48:40,-22.116,14.2845,64.42,84,19,11.25
84,Husavik,IS,2023-01-25 00:48:41,66.0449,-17.3389,34.11,99,100,5.14
85,Arraial Do Cabo,BR,2023-01-25 00:48:41,-22.9661,-42.0278,75.43,88,100,5.5
86,Bubaque,GW,2023-01-25 00:48:42,11.2833,-15.8333,74.46,81,100,15.68
87,Viedma,AR,2023-01-25 00:48:42,-40.8135,-62.9967,67.68,20,6,6.46
88,Katsuura,JP,2023-01-25 00:48:42,35.1333,140.3,35.62,40,12,23.13
89,Kahului,US,2023-01-25 00:48:43,20.8947,-156.47,82.42,66,75,4.61
90,Asau,RO,2023-01-25 00:48:43,46.4333,26.4,27.52,86,95,3.78
91,Sherbakul,RU,2023-01-25 00:49:44,54.6316,72.3963,12.51,94,99,12.64
92,Tumen,CN,2023-01-25 00:49:44,42.9661,129.8425,2.3,45,8,15.84
93,Lorengau,PG,2023-01-25 00:49:44,-2.0226,147.2712,83.35,69,99,4.18
94,Butaritari,KI,2023-01-25 00:48:17,3.0707,172.7902,81.19,77,99,18.79
95,Saint-Philippe,RE,2023-01-25 00:49:45,-21.3585,55.7679,72.99,91,100,12.08
96,Morant Bay,JM,2023-01-25 00:49:45,17.8815,-76.4093,82.02,80,7,10.27
97,Minas,UY,2023-01-25 00:49:45,-34.3759,-55.2377,70.09,40,100,8.75
98,Kaseda,JP,2023-01-25 00:49:46,31.4167,130.3167,35.22,64,66,17.09
99,Avarua,CK,2023-01-25 00:47:35,-21.2078,-159.775,82.45,74,14,5.23
100,Marinette,US,2023-01-25 00:49:46,45.1,-87.6307,30.69,74,40,8.05
101,Bethel,US,2023-01-25 00:49:46,41.3712,-73.414,39.49,64,100,9.22
102,Saint George,US,2023-01-25 00:48:13,37.1041,-113.5841,48.79,31,0,12.66
103,Pisco,PE,2023-01-25 00:49:47,-13.7,-76.2167,71.65,83,0,18.41
104,Cheney,US,2023-01-25 00:49:47,47.4874,-117.5758,32.34,90,100,3.15
105,La Ronge,CA,2023-01-25 00:49:47,55.1001,-105.2842,12.45,79,100,3.44
106,Bikaner,IN,2023-01-25 00:49:48,28.0167,73.3,49.24,26,0,6.82
107,Jamestown,US,2023-01-25 00:49:48,42.097,-79.2353,27.99,86,0,3.44
108,Vanimo,PG,2023-01-25 00:49:48,-2.6741,141.3028,84.65,66,100,3.87
109,Balkanabat,TM,2023-01-25 00:49:49,39.5108,54.3671,31.26,40,0,0.27
