City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Cabo San Lucas,MX,22.8909,-109.9124,65.52,71,100,2.75,overcast clouds
89,Vila Velha,BR,-20.3297,-40.2925,76.95,97,100,8.05,overcast clouds
90,Urucui,BR,-7.2294,-44.5561,72.28,87,42,1.66,scattered clouds
91,Fortuna,US,40.5982,-124.1573,48.97,94,100,0.0,overcast clouds
92,Bac Lieu,VN,9.285,105.7244,79.59,68,100,16.87,overcast clouds
93,Guerrero Negro,MX,27.9769,-114.0611,58.57,54,100,6.93,overcast clouds
94,Wanning,CN,18.8003,110.3967,63.59,61,97,17.49,overcast clouds
95,Geraldton,AU,-28.7667,114.6,82.81,54,0,20.71,clear sky
96,Georgetown,MY,5.4112,100.3354,89.53,61,20,4.61,few clouds
97,Henties Bay,NA,-22.116,14.2845,66.34,83,74,4.18,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,-23.84,100,25,5.93,scattered clouds
99,Sainte-Suzanne,RE,-20.9061,55.6089,86.22,81,100,3.44,light rain
100,Faanui,PF,-16.4833,-151.75,81.09,73,6,12.48,clear sky
101,Talnakh,RU,69.4865,88.3972,1.11,95,100,8.57,overcast clouds
102,Mehamn,NO,71.0357,27.8492,35.55,80,100,6.91,overcast clouds
103,Jamsa,FI,61.8642,25.19,30.15,81,100,14.12,overcast clouds
104,Aksarka,RU,66.5606,67.7975,10.06,93,100,3.74,overcast clouds
105,Camrose,CA,53.0168,-112.8353,4.37,95,100,6.02,overcast clouds
106,Skjervoy,NO,70.0311,20.9714,35.6,76,100,29.53,light rain
107,Burnie,AU,-41.0667,145.9167,72.95,76,99,7.72,overcast clouds
108,Akyab,MM,20.15,92.9,80.83,45,0,8.88,clear sky
109,Cap Malheureux,MU,-19.9842,57.6142,84.47,79,48,4.0,light rain
110,Rio Grande,BR,-32.035,-52.0986,74.7,89,1,6.11,clear sky
111,Cariati,IT,39.4922,16.9594,48.15,77,85,11.25,overcast clouds
112,Bathsheba,BB,13.2167,-59.5167,70.41,88,20,6.91,few clouds
113,Mikkeli,FI,61.6886,27.2723,28.51,86,100,11.5,overcast clouds
114,Axim,GH,4.8699,-2.2405,79.5,87,25,6.26,scattered clouds
115,Nikolskoye,RU,59.7035,30.7861,22.91,93,35,7.43,scattered clouds
116,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.04,88,90,4.65,overcast clouds
117,Tabou,CI,4.423,-7.3528,77.65,88,15,4.74,few clouds
118,Saint-Philippe,RE,-21.3585,55.7679,85.59,83,96,4.43,light rain
119,Camocim,BR,-2.9022,-40.8411,73.74,92,58,7.85,broken clouds
120,Rio Gallegos,AR,-51.6226,-69.2181,55.89,61,2,13.49,clear sky
121,Vostok,RU,46.4856,135.8833,-13.14,92,100,6.69,overcast clouds
122,Seoul,KR,37.5683,126.9778,31.39,68,100,9.78,light snow
123,Wajir,KE,1.7471,40.0573,84.18,43,0,15.23,clear sky
124,Beringovskiy,RU,63.05,179.3167,12.9,99,100,2.13,overcast clouds
125,Luanda,AO,-8.8368,13.2343,73.4,94,75,3.44,broken clouds
126,Kutum,SD,14.2,24.6667,70.0,10,88,9.84,overcast clouds
127,Tiarei,PF,-17.5333,-149.3333,80.62,77,9,14.25,clear sky
128,Cherskiy,RU,68.75,161.3,-22.74,89,11,1.9,few clouds
129,Kaohsiung,TW,22.6163,120.3133,64.35,58,40,9.22,scattered clouds
130,Revelstoke,CA,50.9832,-118.2023,32.02,93,75,9.22,broken clouds
131,Marsa Matruh,EG,31.3525,27.2453,61.66,58,0,7.34,clear sky
132,Amahai,ID,-3.3333,128.9167,82.49,76,82,2.39,light rain
133,Ulladulla,AU,-35.35,150.4667,81.55,65,83,16.84,broken clouds
134,Naze,JP,28.3667,129.4833,50.92,67,74,19.93,broken clouds
135,Auki,SB,-8.7676,160.7034,80.38,84,100,2.33,overcast clouds
136,Adrar,MR,20.5022,-10.0711,50.22,21,41,10.98,scattered clouds
137,Staszow,PL,50.5631,21.1659,30.9,84,93,7.02,overcast clouds
138,Pevek,RU,69.7008,170.3133,-11.94,91,47,4.38,scattered clouds
139,Maksatikha,RU,57.797,35.8825,8.65,99,100,2.71,overcast clouds
140,Te Karaka,NZ,-38.4654,177.8679,66.4,99,100,3.29,overcast clouds
141,Kuytun,RU,54.3419,101.5036,19.36,82,84,10.89,broken clouds
142,Wasilla,US,61.5814,-149.4394,31.3,91,100,0.0,overcast clouds
143,Eyl,SO,7.9803,49.8164,80.78,56,45,19.04,scattered clouds
144,Maniitsoq,GL,65.4167,-52.9,21.6,74,100,19.22,light snow
145,Akdepe,TM,42.0551,59.3788,33.89,43,0,6.51,clear sky
146,Cidreira,BR,-30.1811,-50.2056,74.77,86,0,16.13,clear sky
147,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.24,73,4,5.3,clear sky
148,Koch Bihar,IN,26.3167,89.4333,81.32,36,0,5.46,clear sky
149,Griffith,US,41.5284,-87.4237,24.66,78,0,9.22,clear sky
150,Ballinrobe,IE,53.6333,-9.2333,44.71,95,100,3.0,overcast clouds
151,Huanren,CN,41.2647,125.3667,17.47,50,100,7.07,overcast clouds
152,Bilibino,RU,68.0546,166.4372,-15.05,93,66,4.74,broken clouds
153,Victoria,HK,22.2855,114.1577,62.26,23,40,10.0,scattered clouds
154,Chokurdakh,RU,70.6333,147.9167,-25.04,98,94,6.93,overcast clouds
155,Pedro Betancourt,CU,22.7272,-81.29,72.14,95,52,6.49,broken clouds
156,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,15.79,snow
157,Avera,US,33.194,-82.5271,30.25,70,0,5.48,clear sky
158,Sal Rei,CV,16.1833,-22.9167,70.0,78,20,8.05,few clouds
159,Bairiki,KI,1.3292,172.9752,80.6,94,75,10.36,light rain
160,Constitucion,CL,-35.3333,-72.4167,58.68,61,0,9.04,clear sky
161,Gagnoa,CI,6.1293,-5.9437,71.13,98,71,2.39,broken clouds
162,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.6,77,0,5.75,clear sky
163,Green River,US,41.5286,-109.4662,28.98,55,100,14.41,overcast clouds
164,Lodingen,NO,68.414,15.9951,37.54,72,100,23.87,overcast clouds
165,Sisimiut,GL,66.9395,-53.6735,12.29,73,100,12.01,overcast clouds
166,Gijon,ES,43.5357,-5.6615,48.99,89,100,11.99,overcast clouds
167,Hamilton,US,39.1834,-84.5333,44.01,66,0,9.22,clear sky
168,Ribeira Grande,PT,38.5167,-28.7,55.8,76,20,11.5,few clouds
169,Souillac,MU,-20.5167,57.5167,80.98,94,75,2.3,light intensity shower rain
170,Nome,US,64.5011,-165.4064,22.15,93,100,16.11,snow
171,Brandfort,ZA,-28.7001,26.4597,72.81,30,7,7.38,clear sky
172,San Cristobal,VE,7.7669,-72.225,61.16,84,32,2.06,scattered clouds
173,Den Helder,NL,52.9599,4.7593,37.02,83,75,1.01,broken clouds
174,Arlit,NE,18.7369,7.3853,64.62,11,100,6.6,overcast clouds
175,Biak,ID,-0.9131,122.8766,80.38,79,99,2.33,light rain
176,Sabang,ID,5.8933,95.3214,79.99,81,92,20.15,overcast clouds
177,Iqaluit,CA,63.7506,-68.5145,-36.67,67,0,4.61,clear sky
178,Ixtapa,MX,20.7,-105.2,70.23,81,4,3.27,clear sky
179,Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,28.77,scattered clouds
180,Mahebourg,MU,-20.4081,57.7,84.25,94,75,2.3,light intensity shower rain
181,Kenai,US,60.5544,-151.2583,29.14,88,100,5.75,overcast clouds
182,Acarau,BR,-2.8856,-40.12,75.61,88,42,8.93,scattered clouds
183,Port Blair,IN,11.6667,92.75,86.04,66,40,11.5,scattered clouds
184,Hvide Sande,DK,56.0045,8.1294,35.1,87,100,16.13,overcast clouds
185,Seminole,US,28.7086,-81.2081,52.16,79,0,8.05,clear sky
186,Kachug,RU,53.9606,105.8817,18.19,78,59,10.94,broken clouds
187,Meadow Lake,US,34.8014,-106.5436,35.11,41,0,5.73,clear sky
188,Klaksvik,FO,62.2266,-6.589,41.92,77,100,24.65,overcast clouds
189,Trelaze,FR,47.45,-0.4667,38.1,77,100,6.91,overcast clouds
190,Kargalinskaya,RU,43.7417,46.4792,43.38,73,10,15.19,clear sky
191,Pirassununga,BR,-21.9961,-47.4258,66.24,95,7,2.1,clear sky
192,Ilulissat,GL,69.2167,-51.1,10.42,67,75,10.36,broken clouds
193,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,4.61,overcast clouds
194,San Jose El Idolo,GT,14.45,-91.4167,76.84,64,7,4.29,clear sky
195,Galich,RU,58.3797,42.3475,3.31,100,100,2.15,overcast clouds
196,Quang Ngai,VN,15.1167,108.8,66.6,89,98,9.24,overcast clouds
197,Hofn,IS,64.2539,-15.2082,35.64,59,100,4.59,overcast clouds
198,Luderitz,NA,-26.6481,15.1594,71.2,56,0,16.53,clear sky
199,Dingle,PH,10.9995,122.6711,75.67,93,100,11.54,overcast clouds
200,Yellowknife,CA,62.456,-114.3525,-12.44,77,20,18.99,few clouds
201,Cockburn Town,TC,21.4612,-71.1419,76.03,67,49,19.55,scattered clouds
202,Pershotravneve,UA,51.3929,28.8684,27.32,75,28,4.97,scattered clouds
203,Nisia Floresta,BR,-6.0911,-35.2086,77.38,85,8,5.95,clear sky
204,Lata,PT,40.1629,-8.3327,31.91,85,0,4.9,clear sky
205,Sao Filipe,CV,14.8961,-24.4956,74.43,71,8,9.44,clear sky
206,Seekonk,US,41.8084,-71.337,35.82,88,0,1.01,clear sky
207,Krasnoselkup,RU,65.7,82.4667,1.78,98,86,9.66,overcast clouds
208,Lorengau,PG,-2.0226,147.2712,83.52,72,98,6.78,overcast clouds
209,Shelburne,CA,44.0787,-80.2041,32.45,96,100,26.35,light snow
210,Guanica,PR,17.9716,-66.908,72.21,65,0,7.23,clear sky
211,Tiksi,RU,71.6872,128.8694,-33.7,100,93,1.74,overcast clouds
212,Lompoc,US,34.6391,-120.4579,51.01,86,100,15.99,overcast clouds
213,Beloha,MG,-25.1667,45.05,77.9,72,100,17.02,overcast clouds
214,Tilichiki,RU,60.4667,166.1,21.99,88,96,12.48,overcast clouds
215,Rorvik,NO,64.8621,11.2373,37.51,70,20,14.97,light rain
