City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Luba,GQ,78.69,light rain,3.4568,8.5547,Hotel Jones
441,Sinnamary,GF,75.18,overcast clouds,5.3833,-52.95,Hôtel du fleuve
442,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
444,Diffa,NE,77.07,broken clouds,13.3154,12.6113,UNHCR guest house
446,Sao Felix Do Xingu,BR,70.52,overcast clouds,-6.6447,-51.995,Hotel Terraço
452,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,losmen Surya
462,Lashio,MM,83.1,clear sky,22.9333,97.75,Golden Kaniri Hotel
465,Lahaina,US,71.8,light rain,20.8783,-156.6825,Best Western Pioneer Inn
466,Manaure,CO,74.07,clear sky,11.7751,-72.4445,hotel palaima
468,Meulaboh,ID,84.51,overcast clouds,4.1363,96.1285,Hotel Meuligou
470,Clarence Town,AU,86.61,clear sky,-32.5833,151.7833,Erringhi Hotel
474,Sur,OM,71.24,light rain,22.5667,59.5289,Sur Hotel
477,Imbituba,BR,71.01,clear sky,-28.24,-48.6703,Silvestre Praia Hotel
479,Caravelas,BR,74.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
487,Ranong,TH,85.93,broken clouds,9.9658,98.6348,Rattana Sin Hotel
499,Isangel,VU,82.17,overcast clouds,-19.55,169.2667,Tanna Lodge
501,Puerto Carreno,CO,72.27,broken clouds,6.189,-67.4859,Carreño Plaza
503,Sulangan,PH,78.82,overcast clouds,11.1373,123.7228,Marion's Inn
506,Bacolod,PH,78.12,overcast clouds,10.6667,122.95,Northwest Inn
509,Bintulu,MY,86.41,scattered clouds,3.1667,113.0333,Bakun Inn
510,Dakar,SN,76.08,clear sky,14.6937,-17.4441,翁记小吃
516,Malanville,BJ,73.94,overcast clouds,11.8685,3.3899,Hôtel les Relais du Sahel
519,Manakara,MG,85.17,broken clouds,-22.1333,48.0167,Hotel H1
520,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
521,Inhambane,MZ,85.98,scattered clouds,-23.865,35.3833,Hotel de Inhambane
524,Montepuez,MZ,78.21,overcast clouds,-13.1256,38.9997,Complexo Messalo
526,Matale,LK,85.35,scattered clouds,7.4721,80.6234,The Grand Mountain Hotel
532,Namibe,AO,75.47,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
543,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Hotel Grand Senyiur
544,Natal,BR,77.22,few clouds,-5.795,-35.2094,Natal Palace Hotel
545,Samana,DO,74.66,overcast clouds,19.2056,-69.3369,Hotel Cotubanamá
547,Pangkalanbuun,ID,85.28,broken clouds,-2.6833,111.6167,Hotel Tiara
554,Upala,CR,73.15,overcast clouds,10.8979,-85.0145,Hotel Rosita
559,Triolet,MU,84.27,light rain,-20.0547,57.5453,Elysee Hotel Residence
564,Vao,NC,76.32,light rain,-22.6667,167.4833,Nataiwatch
574,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Hotel Hero
575,Oussouye,SN,71.69,broken clouds,12.485,-16.5469,Campement Alulum
579,Launceston,AU,74.84,overcast clouds,-41.45,147.1667,Hotel Charles
588,Safaga,EG,73.44,clear sky,26.7292,33.9365,Dolphin Hotel
589,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Blossom's on Seaspray
595,Martapura,ID,84.29,light rain,-3.4167,114.85,Q-Hotel Grand Dafam
596,Sao Joao Da Barra,BR,74.37,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
598,Catuday,PH,77.67,broken clouds,16.2923,119.8062,Nina Anchors Inn
606,Lazaro Cardenas,MX,70.0,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
608,Santana Do Livramento,BR,74.44,clear sky,-30.8908,-55.5328,Verde Plaza
611,Kainantu,PG,72.75,overcast clouds,-6.2887,145.8655,Kainantu Lodge
612,Bowen,AU,82.65,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
619,Novo Aripuana,BR,72.03,moderate rain,-5.1206,-60.3797,Hotel Novo Aripuanã
621,Pochutla,MX,70.83,clear sky,15.7432,-96.4661,Posada San Jose
625,Jardim,BR,73.31,clear sky,-21.4803,-56.1381,Hotel Uchôa
628,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
629,Ternate,ID,80.53,light rain,0.8,127.4,Boulivard ternate
630,Mombasa,KE,82.81,broken clouds,-4.0547,39.6636,Hotel Sapphire
634,Mahibadhoo,MV,80.24,scattered clouds,3.7833,72.9667,Coral View Inn
639,Ilebo,CD,73.53,overcast clouds,-4.3167,20.5833,Hôtel des Palmes
642,Libertador General San Martin,AR,75.97,very heavy rain,-23.8064,-64.7876,Hosteria Real Victoria
647,Mecca,SA,76.46,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
659,Mutare,ZW,75.74,few clouds,-18.9707,32.6709,Amber Sun hotel
661,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
662,Puri,IN,86.52,clear sky,19.8,85.85,Divine Beach Homestay
666,Taytay,PH,84.13,broken clouds,14.5678,121.1394,Mariposa Budget Hotel
671,Guantanamo,CU,72.97,broken clouds,20.1444,-75.2092,Martí
